"","Subject","Age","Gender","STAIT","Condition","EV","AltEV","Risk","AltRisk","Actual","Counterfactual","Satisfaction","ReactionTime","Trial","TrialTot"
"111",2,20,"male",27,"double","low","high","high","high",0,40,-7.56540308511104,3.265099491,15,15
"112",2,20,"male",27,"double","low","high","low","low",20,20,6.41839035930388,3.51356620299975,16,16
"113",2,20,"male",27,"double","high","low","low","high",40,0,4.14876943377057,1.59513796899955,17,17
"114",2,20,"male",27,"double","high","high","low","high",20,40,4.12436490768957,1.61049074400034,18,18
"115",2,20,"male",27,"double","high","high","low","high",40,40,4.14876943377057,2.01341218899961,19,19
"116",2,20,"male",27,"double","low","low","low","high",20,40,6.58922204187091,2.05179331099953,20,20
"117",2,20,"male",27,"double","low","high","low","high",20,40,6.46719941146589,2.68972269499955,21,21
"118",2,20,"male",27,"double","high","low","low","low",20,40,6.32077225497987,4.04145790300026,22,22
"119",2,20,"male",27,"double","high","low","low","high",20,0,6.46719941146589,2.04191343099956,23,23
"120",2,20,"male",27,"double","high","high","low","high",20,40,6.44279488538489,1.15431636299945,24,24
"121",2,20,"male",27,"single","high","low","low","low",40,20,6.24755867673686,3.22016686999996,1,25
"122",2,20,"male",27,"single","low","high","high","low",40,20,6.44279488538489,4.91580210399934,2,26
"123",2,20,"male",27,"single","low","high","high","low",40,20,6.46719941146589,3.30619675199978,3,27
"124",2,20,"male",27,"single","low","high","high","high",40,0,6.44279488538489,2.25314234799953,4,28
"125",2,20,"male",27,"single","high","high","high","low",0,20,-7.41897592862502,5.28626620700015,5,29
"126",2,20,"male",27,"single","low","high","low","high",0,40,-7.41897592862502,1.32841069799997,6,30
"127",2,20,"male",27,"single","low","high","low","high",20,40,6.46719941146589,4.78890940800011,7,31
"128",2,20,"male",27,"single","high","low","low","low",20,20,4.07555585552756,2.73536800700003,8,32
"129",2,20,"male",27,"single","high","high","low","high",20,40,3.97793775120355,2.9097917729996,9,33
"130",2,20,"male",27,"single","low","high","high","low",0,20,-7.41897592862502,2.39279201599948,10,34
"131",2,20,"male",27,"single","low","high","high","high",40,0,6.5404129897089,4.2629254400008,11,35
"132",2,20,"male",27,"single","low","high","high","high",40,0,6.49160393754689,2.54799843199999,12,36
"133",2,20,"male",27,"single","low","high","high","low",0,40,-7.54099855903004,2.72732144300062,13,37
"134",2,20,"male",27,"single","high","high","low","high",40,40,4.02674680336556,2.11692727899936,14,38
"135",2,20,"male",27,"single","low","high","high","high",40,40,6.44279488538489,3.35075012000016,15,39
"136",2,20,"male",27,"single","low","low","low","high",0,0,-7.63861666335405,3.67813106699941,16,40
"137",2,20,"male",27,"single","low","low","low","high",0,40,-7.34576235038201,4.44982838400028,17,41
"138",2,20,"male",27,"single","low","low","high","low",40,20,6.5160084636279,1.07995944499999,18,42
"139",2,20,"male",27,"single","low","high","low","high",20,0,4.02674680336556,3.6329255769997,19,43
"140",2,20,"male",27,"single","high","low","low","low",40,20,3.6606789121505,4.64283590600007,20,44
"141",2,20,"male",27,"single","low","low","high","low",0,20,-7.41897592862502,3.6685251480003,21,45
"142",2,20,"male",27,"single","high","low","low","low",20,20,4.83209616403867,5.43120195799929,22,46
"143",2,20,"male",27,"single","high","high","low","high",20,0,4.02674680336556,3.86622619199989,23,47
"144",2,20,"male",27,"single","low","high","low","high",20,0,5.63744552471178,2.95553977700001,24,48
"145",2,20,"male",27,"double","low","low","low","high",20,0,5.39340026390174,4.01615169100023,1,49
"146",2,20,"male",27,"double","high","low","low","low",20,20,4.46602827282362,3.49006073999954,2,50
"147",2,20,"male",27,"double","low","high","low","high",0,0,-6.66243562011392,1.82814141099971,3,51
"148",2,20,"male",27,"double","high","high","low","high",20,0,3.92912869904154,3.18575001299996,4,52
"149",2,20,"male",27,"double","high","high","high","low",40,20,6.93088540700496,3.92809608300013,5,53
"150",2,20,"male",27,"double","high","high","low","high",20,40,4.00234227728455,2.5399845460006,6,54
"151",2,20,"male",27,"double","high","low","low","low",40,20,5.51542289430676,2.95264421000047,7,55
"152",2,20,"male",27,"double","low","high","high","low",0,40,-6.32077225497987,5.8532599629998,8,56
"153",2,20,"male",27,"double","low","high","low","high",20,0,3.12377933836843,2.86986491800053,9,57
"154",2,20,"male",27,"double","high","low","low","high",20,0,4.22198301201358,6.08517706000021,10,58
"155",2,20,"male",27,"double","high","low","low","low",40,40,5.66185005079278,5.17910719999963,11,59
"156",2,20,"male",27,"double","low","high","low","high",40,40,3.46544270350248,2.00795044799997,12,60
"157",2,20,"male",27,"double","low","low","high","low",40,20,6.5160084636279,4.98411670599944,13,61
"158",2,20,"male",27,"double","low","high","high","high",0,40,-4.97852332052469,1.5592885850001,14,62
"159",2,20,"male",27,"double","low","high","high","high",0,40,-6.76005372443793,6.05609779099996,15,63
"160",2,20,"male",27,"double","high","low","low","high",20,40,3.97793775120355,2.23080197299987,16,64
"161",2,20,"male",27,"double","high","low","low","high",20,0,3.92912869904154,2.34317888300029,17,65
