YEAR,MONTH,DAY,HOUR,MINUTE,SECOND,MICROSECOND,body_x,body_y,tail_x,tail_y,head_x,head_y,FRAME_PATH
2020,12,7,1,7,48,682186,0,275,36,382,17,218,000000094_000006266_c.png
2020,12,7,1,7,48,703842,0,296,0,38,36,382,000000095_000006333_c.png
2020,12,7,1,7,48,723306,0,295,38,382,17,218,000000096_000006399_c.png
2020,12,7,1,7,48,740383,0,334,18,218,32,382,000000097_000006466_c.png
2020,12,7,1,7,48,760216,0,321,39,220,34,382,000000098_000006533_c.png
2020,12,7,1,7,48,777360,0,304,17,218,39,380,000000099_000006599_c.png
2020,12,7,1,7,48,794532,0,295,39,380,17,218,000000100_000006666_c.png
2020,12,7,1,7,48,811982,0,293,38,381,17,218,000000101_000006733_c.png
2020,12,7,1,7,48,829190,0,294,36,381,17,218,000000102_000006799_c.png
2020,12,7,1,7,48,850583,0,292,0,36,39,381,000000103_000006866_c.png
2020,12,7,1,7,48,867925,0,318,36,218,37,382,000000104_000006933_c.png
2020,12,7,1,7,48,889937,0,338,0,38,37,381,000000105_000006999_c.png
2020,12,7,1,7,48,911536,0,334,0,36,39,381,000000106_000007066_c.png
2020,12,7,1,7,48,933121,0,317,0,36,38,382,000000107_000007133_c.png
2020,12,7,1,7,48,954833,0,320,23,36,36,382,000000108_000007199_c.png
2020,12,7,1,7,48,975950,0,319,0,36,35,382,000000109_000007266_c.png
2020,12,7,1,7,48,997002,0,337,0,36,37,382,000000110_000007333_c.png
2020,12,7,1,7,49,19064,0,327,0,38,37,382,000000111_000007399_c.png
2020,12,7,1,7,49,40995,0,318,0,36,32,382,000000112_000007466_c.png
2020,12,7,1,7,49,62372,0,318,0,36,37,382,000000113_000007533_c.png
2020,12,7,1,7,49,83782,0,338,0,36,39,381,000000114_000007599_c.png
2020,12,7,1,7,49,105053,0,337,0,36,39,381,000000115_000007666_c.png
2020,12,7,1,7,49,126072,0,337,0,36,36,382,000000116_000007733_c.png
2020,12,7,1,7,49,147088,0,337,0,36,37,382,000000117_000007799_c.png
2020,12,7,1,7,49,168466,0,338,0,38,37,382,000000118_000007933_c.png
2020,12,7,1,7,49,190701,0,338,0,36,36,382,000000119_000007999_c.png
2020,12,7,1,7,49,212024,0,338,0,36,36,382,000000120_000008066_c.png
2020,12,7,1,7,49,231360,0,339,39,221,33,382,000000121_000008133_c.png
2020,12,7,1,7,49,253110,0,339,0,36,34,382,000000122_000008199_c.png
2020,12,7,1,7,49,273709,0,323,18,218,35,382,000000123_000008266_c.png
2020,12,7,1,7,49,295548,0,317,0,38,32,382,000000124_000008333_c.png
2020,12,7,1,7,49,315741,0,318,18,218,36,382,000000125_000008399_c.png
2020,12,7,1,7,49,337467,0,338,0,36,35,382,000000126_000008466_c.png
2020,12,7,1,7,49,360846,0,318,18,218,32,382,000000127_000008533_c.png
2020,12,7,1,7,49,383501,0,321,39,220,32,382,000000128_000008599_c.png
2020,12,7,1,7,49,405933,0,321,34,223,21,381,000000129_000008999_c.png
2020,12,7,1,7,49,429496,0,337,0,36,38,382,000000130_000009066_c.png
2020,12,7,1,7,49,453325,0,317,1,42,34,382,000000131_000009133_c.png
2020,12,7,1,7,49,474019,0,337,35,218,37,382,000000132_000009199_c.png
2020,12,7,1,7,49,497162,0,326,0,36,35,382,000000133_000009266_c.png
2020,12,7,1,7,49,519866,0,320,0,38,35,382,000000134_000009333_c.png
2020,12,7,1,7,49,542516,0,317,0,38,38,382,000000135_000009399_c.png
2020,12,7,1,7,49,564848,0,328,0,36,39,381,000000136_000009466_c.png
2020,12,7,1,7,49,586675,0,305,0,36,38,381,000000137_000009533_c.png
2020,12,7,1,7,49,604618,0,337,18,218,37,382,000000138_000009599_c.png
2020,12,7,1,7,49,629327,0,329,0,38,34,382,000000139_000009666_c.png
2020,12,7,1,7,49,651814,0,333,0,36,37,382,000000140_000009733_c.png
2020,12,7,1,7,49,671400,0,317,17,218,37,382,000000141_000009799_c.png
2020,12,7,1,7,49,693200,0,318,0,36,37,381,000000142_000009866_c.png
2020,12,7,1,7,49,712687,0,333,35,218,32,382,000000143_000009933_c.png
2020,12,7,1,7,49,734381,0,284,0,39,32,382,000000144_000009999_c.png
2020,12,7,1,7,49,756677,0,337,0,36,41,378,000000145_000010066_c.png
2020,12,7,1,7,49,779617,0,319,0,36,34,381,000000146_000010133_c.png
2020,12,7,1,7,49,800355,0,338,38,218,32,382,000000147_000010199_c.png
2020,12,7,1,7,49,823338,0,285,0,36,40,381,000000148_000010266_c.png
2020,12,7,1,7,49,846708,0,338,0,38,35,382,000000149_000010333_c.png
2020,12,7,1,7,49,865670,0,339,18,218,34,382,000000150_000010399_c.png
2020,12,7,1,7,49,887142,0,341,0,36,31,381,000000151_000010466_c.png
