YEAR,MONTH,DAY,HOUR,MINUTE,SECOND,MICROSECOND,body_x,body_y,tail_x,tail_y,head_x,head_y
2020,11,20,22,42,30,831899,134,360,140,345,119,365
2020,11,20,22,42,30,870830,134,360,117,364,146,353
2020,11,20,22,42,30,908925,134,360,117,364,146,353
2020,11,20,22,42,30,940425,134,360,116,366,146,353
2020,11,20,22,42,30,971072,134,360,140,345,119,366
2020,11,20,22,42,31,11234,134,361,140,345,118,367
2020,11,20,22,42,31,42065,134,361,139,345,117,366
2020,11,20,22,42,31,73620,136,361,140,344,127,371
2020,11,20,22,42,31,103407,136,361,140,344,128,371
2020,11,20,22,42,31,143652,134,360,140,343,127,370
2020,11,20,22,42,31,167069,134,360,140,344,125,369
2020,11,20,22,42,31,198748,134,360,120,365,147,353
2020,11,20,22,42,31,238319,138,361,120,366,140,344
2020,11,20,22,42,31,267275,138,361,140,344,121,369
2020,11,20,22,42,31,297901,138,361,140,344,121,369
2020,11,20,22,42,31,339186,138,361,120,369,140,344
2020,11,20,22,42,31,377682,136,362,139,344,124,374
2020,11,20,22,42,31,407912,136,362,121,371,148,356
2020,11,20,22,42,31,434693,138,361,121,371,147,354
2020,11,20,22,42,31,470557,138,362,122,372,147,354
2020,11,20,22,42,31,504571,138,362,122,372,147,354
2020,11,20,22,42,31,534697,139,361,122,372,150,359
2020,11,20,22,42,31,571095,138,362,120,368,149,359
2020,11,20,22,42,31,613052,139,361,122,372,150,359
2020,11,20,22,42,31,641797,138,362,133,343,122,371
2020,11,20,22,42,31,673000,139,362,133,343,147,370
2020,11,20,22,42,31,695269,139,362,133,343,146,371
2020,11,20,22,42,31,739530,137,362,133,343,147,371
2020,11,20,22,42,31,767196,139,363,133,343,144,373
2020,11,20,22,42,31,796920,138,362,133,343,144,374
2020,11,20,22,42,31,839306,139,362,124,353,148,370
2020,11,20,22,42,31,868275,138,361,125,351,144,374
2020,11,20,22,42,31,901197,138,361,125,351,143,375
2020,11,20,22,42,31,937460,138,362,124,353,146,371
2020,11,20,22,42,31,970168,138,362,124,353,147,371
2020,11,20,22,42,32,1170,139,363,125,352,145,374
2020,11,20,22,42,32,31072,139,363,125,353,148,371
2020,11,20,22,42,32,70069,139,362,125,353,148,371
2020,11,20,22,42,32,111398,139,363,125,353,147,372
2020,11,20,22,42,32,143337,139,361,126,351,145,374
2020,11,20,22,42,32,164720,139,361,126,351,145,374
2020,11,20,22,42,32,206039,136,360,123,341,141,372
2020,11,20,22,42,32,235767,136,359,121,341,141,370
2020,11,20,22,42,32,265231,136,361,131,341,123,372
2020,11,20,22,42,32,306045,136,362,131,341,123,372
2020,11,20,22,42,32,345499,136,362,131,341,122,372
2020,11,20,22,42,32,375720,136,362,131,341,122,372
2020,11,20,22,42,32,404727,136,362,122,343,141,373
2020,11,20,22,42,32,430098,135,362,121,342,141,373
2020,11,20,22,42,32,469479,135,361,131,341,136,375
2020,11,20,22,42,32,500819,135,361,131,341,136,375
2020,11,20,22,42,32,530734,135,361,131,341,136,375
2020,11,20,22,42,32,580083,135,361,131,341,122,372
2020,11,20,22,42,32,604504,135,361,131,341,136,375
2020,11,20,22,42,32,632297,135,361,131,341,136,375
2020,11,20,22,42,32,665586,135,361,131,341,136,375
2020,11,20,22,42,32,703899,135,362,131,341,136,375
2020,11,20,22,42,32,737490,135,362,131,341,136,375
2020,11,20,22,42,32,773354,135,362,130,341,136,375
2020,11,20,22,42,32,803365,135,362,131,334,123,373
2020,11,20,22,42,32,842818,135,361,131,333,123,372
2020,11,20,22,42,32,866968,134,360,132,334,122,372
2020,11,20,22,42,32,898664,134,360,132,334,122,372
2020,11,20,22,42,32,939081,138,357,155,341,122,370
2020,11,20,22,42,32,968407,138,357,154,340,121,369
2020,11,20,22,42,33,15,137,358,156,341,122,370
2020,11,20,22,42,33,29819,138,356,158,339,121,369
2020,11,20,22,42,33,79433,138,354,159,337,122,370
2020,11,20,22,42,33,104323,138,354,160,339,121,369
2020,11,20,22,42,33,131249,139,353,159,336,121,369
2020,11,20,22,42,33,164978,140,353,156,334,121,368
2020,11,20,22,42,33,205655,141,354,122,369,156,338
2020,11,20,22,42,33,235099,139,357,153,340,122,369
2020,11,20,22,42,33,274382,140,356,122,369,153,344
2020,11,20,22,42,33,298571,140,356,122,369,153,344
2020,11,20,22,42,33,339073,139,357,121,368,150,343
2020,11,20,22,42,33,369691,140,357,121,368,150,344
2020,11,20,22,42,33,405563,140,357,122,368,152,346
2020,11,20,22,42,33,436538,140,359,122,367,156,354
2020,11,20,22,42,33,468664,146,355,122,367,160,351
2020,11,20,22,42,33,499045,146,355,122,367,160,351
2020,11,20,22,42,33,532794,138,358,163,348,122,367
2020,11,20,22,42,33,573460,139,357,165,345,123,367
2020,11,20,22,42,33,605255,139,357,166,340,128,370
2020,11,20,22,42,33,634583,142,354,167,335,123,368
2020,11,20,22,42,33,665167,143,353,167,333,135,364
2020,11,20,22,42,33,705551,143,353,167,333,135,364
2020,11,20,22,42,33,736554,143,352,161,331,123,369
2020,11,20,22,42,33,767261,138,348,126,313,125,370
2020,11,20,22,42,33,797677,133,338,125,304,135,358
2020,11,20,22,42,33,838453,132,327,131,363,124,298
2020,11,20,22,42,33,869030,132,320,132,358,123,294
2020,11,20,22,42,33,899496,132,320,132,358,123,294
2020,11,20,22,42,33,940176,133,320,133,361,123,291
2020,11,20,22,42,33,970836,133,316,134,361,124,291
2020,11,20,22,42,34,1140,133,316,135,360,124,293
2020,11,20,22,42,34,31934,132,318,135,358,121,293
2020,11,20,22,42,34,72659,132,318,135,358,122,293
2020,11,20,22,42,34,102989,132,318,135,358,122,293
2020,11,20,22,42,34,133203,132,318,135,358,122,292
2020,11,20,22,42,34,171353,132,318,136,360,121,291
2020,11,20,22,42,34,197751,132,318,135,358,122,290
2020,11,20,22,42,34,238722,132,318,135,358,121,290
2020,11,20,22,42,34,268480,132,318,135,358,121,289
2020,11,20,22,42,34,299070,132,318,135,358,121,289
2020,11,20,22,42,34,332356,132,318,135,358,120,287
2020,11,20,22,42,34,378867,130,317,136,359,121,286
2020,11,20,22,42,34,409847,129,317,136,358,120,287
2020,11,20,22,42,34,440155,129,314,136,358,121,288
2020,11,20,22,42,34,470503,130,314,136,358,121,289
2020,11,20,22,42,34,510700,130,314,136,358,121,289
2020,11,20,22,42,34,542261,130,314,137,359,122,290
2020,11,20,22,42,34,572150,130,314,137,359,122,290
2020,11,20,22,42,34,612342,130,314,137,359,122,290
2020,11,20,22,42,34,634537,130,314,137,359,122,290
2020,11,20,22,42,34,665216,130,314,137,358,120,287
2020,11,20,22,42,34,696136,130,314,137,358,120,287
2020,11,20,22,42,34,736662,130,314,137,358,117,287
2020,11,20,22,42,34,767270,129,311,139,361,112,284
2020,11,20,22,42,34,797787,129,311,138,359,112,282
2020,11,20,22,42,34,828550,127,309,136,352,111,281
2020,11,20,22,42,34,869370,126,303,135,348,110,282
2020,11,20,22,42,34,901705,126,303,135,348,111,281
2020,11,20,22,42,34,933513,128,301,135,349,109,283
2020,11,20,22,42,34,974206,128,302,136,349,105,286
2020,11,20,22,42,35,4307,128,303,137,349,103,289
2020,11,20,22,42,35,35561,128,302,138,349,101,290
2020,11,20,22,42,35,71403,127,300,138,340,99,291
2020,11,20,22,42,35,111633,127,300,138,340,99,291
2020,11,20,22,42,35,135493,126,298,140,336,96,292
2020,11,20,22,42,35,164583,125,297,140,336,94,294
2020,11,20,22,42,35,197345,125,297,139,334,93,296
2020,11,20,22,42,35,237108,125,297,137,327,92,295
2020,11,20,22,42,35,265816,125,297,137,327,92,294
2020,11,20,22,42,35,306883,125,297,137,328,92,294
2020,11,20,22,42,35,346714,125,297,138,333,94,295
2020,11,20,22,42,35,376594,125,298,138,331,102,284
2020,11,20,22,42,35,406631,126,299,138,331,103,284
2020,11,20,22,42,35,437309,125,299,138,331,104,285
2020,11,20,22,42,35,478157,127,300,137,334,105,285
2020,11,20,22,42,35,508835,127,300,137,334,105,285
2020,11,20,22,42,35,539083,127,301,137,334,107,288
2020,11,20,22,42,35,569795,128,301,137,334,100,302
2020,11,20,22,42,35,610114,128,301,137,334,101,309
2020,11,20,22,42,35,636313,129,302,138,332,102,318
2020,11,20,22,42,35,663140,130,304,139,332,105,326
2020,11,20,22,42,35,703586,125,305,139,332,105,326
2020,11,20,22,42,35,734308,133,305,110,333,141,332
2020,11,20,22,42,35,765210,131,309,117,340,142,330
2020,11,20,22,42,35,795616,126,322,149,318,122,350
2020,11,20,22,42,35,836242,129,331,152,315,122,358
2020,11,20,22,42,35,866815,132,334,158,312,122,363
2020,11,20,22,42,35,900027,132,334,158,312,122,363
2020,11,20,22,42,35,935987,132,337,164,313,122,365
2020,11,20,22,42,35,978143,132,338,159,309,123,368
2020,11,20,22,42,36,8104,133,339,160,308,123,370
2020,11,20,22,42,36,38944,130,348,137,318,119,374
2020,11,20,22,42,36,79764,129,351,154,310,119,374
2020,11,20,22,42,36,109099,129,351,154,310,119,374
2020,11,20,22,42,36,139804,131,351,156,309,122,373
2020,11,20,22,42,36,164231,132,350,155,308,123,371
2020,11,20,22,42,36,199883,131,351,157,308,123,370
2020,11,20,22,42,36,246873,131,351,157,308,123,371
2020,11,20,22,42,36,270932,132,349,157,308,123,371
2020,11,20,22,42,36,300942,132,349,157,308,123,371
2020,11,20,22,42,36,336065,125,363,145,325,105,385
2020,11,20,22,42,36,370048,123,367,145,325,105,385
2020,11,20,22,42,36,409247,124,366,145,325,105,385
2020,11,20,22,42,36,439869,124,367,145,326,105,385
2020,11,20,22,42,36,470707,127,366,147,321,105,385
2020,11,20,22,42,36,510156,127,366,147,321,106,385
2020,11,20,22,42,36,534012,129,361,148,320,96,380
2020,11,20,22,42,36,563449,129,361,148,320,98,380
2020,11,20,22,42,36,603686,114,373,148,320,101,372
2020,11,20,22,42,36,634275,130,363,148,320,103,367
2020,11,20,22,42,36,674921,127,366,148,318,106,360
2020,11,20,22,42,36,704514,127,366,148,320,106,360
2020,11,20,22,42,36,745045,130,364,147,321,109,354
2020,11,20,22,42,36,775236,135,361,144,323,114,345
2020,11,20,22,42,36,805545,135,359,147,327,117,342
2020,11,20,22,42,36,836812,133,359,152,337,118,343
2020,11,20,22,42,36,877184,130,361,122,337,146,369
2020,11,20,22,42,36,898649,130,361,122,337,146,369
2020,11,20,22,42,36,930026,129,360,153,371,122,333
2020,11,20,22,42,36,970671,128,359,154,373,124,332
2020,11,20,22,42,37,9282,128,359,159,372,126,327
2020,11,20,22,42,37,41110,128,357,157,371,127,321
2020,11,20,22,42,37,70982,127,353,125,316,139,367
2020,11,20,22,42,37,111394,127,353,126,315,143,368
2020,11,20,22,42,37,144066,128,339,143,362,129,309
2020,11,20,22,42,37,173124,128,339,150,362,136,308
2020,11,20,22,42,37,198822,127,339,149,363,139,308
2020,11,20,22,42,37,237132,127,337,143,364,139,308
2020,11,20,22,42,37,265839,127,336,144,366,138,308
2020,11,20,22,42,37,299045,127,336,145,366,138,308
2020,11,20,22,42,37,345832,126,335,143,366,135,306
2020,11,20,22,42,37,374769,128,328,130,361,138,305
2020,11,20,22,42,37,399034,129,328,134,363,131,298
2020,11,20,22,42,37,429231,128,321,131,278,128,344
2020,11,20,22,42,37,469933,129,290,127,336,132,255
2020,11,20,22,42,37,503841,129,290,127,336,132,255
2020,11,20,22,42,37,539321,134,263,124,309,128,226
2020,11,20,22,42,37,573091,130,232,136,274,128,194
